IQ-TREE multicore version 2.4.0 for Linux x86 64-bit built Feb  7 2025
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor, Heiko Schmidt,
Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    rosa (AVX512, FMA3, 755 GB RAM)
Command: /home/jeremias/software/iqtree-2.4.0-Linux-intel/bin/iqtree2 -s /home/jeremias//chrM/split/iter03/window_1_02/window_1_02_05_1.fa -T 1 --quiet --redo -blmin 0.00193050193050193
Seed:    539043 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Jun 25 05:41:31 2026
Kernel:  AVX+FMA - 1 threads (128 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 128 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /home/jeremias//chrM/split/iter03/window_1_02/window_1_02_05_1.fa ... Fasta format detected
Reading fasta file: done in 5.43594e-05 secs using 93.82% CPU
Alignment most likely contains DNA/RNA sequences
Alignment has 4 sequences with 518 columns, 44 distinct patterns
23 parsimony-informative, 89 singleton sites, 406 constant sites
         Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 7.53999e-06 secs using 92.84% CPU
   1  hg38       0.00%    passed     91.93%
   2  gorGor3    0.19%    passed     90.16%
   3  panTro4    0.19%    passed     95.10%
   4  ponAbe2    0.19%    passed     92.27%
****  TOTAL      0.14%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1224.557
Optimal log-likelihood: -1224.403
Rate parameters:  A-C: 0.81959  A-G: 8.07425  A-T: 0.78722  C-G: 0.01518  C-T: 11.86329  G-T: 1.00000
Base frequencies:  A: 0.301  C: 0.335  G: 0.124  T: 0.240
Proportion of invariable sites: 0.380
Gamma shape alpha: 1.109
Parameters optimization took 1 rounds (0.001 sec)
Time for fast ML tree search: 0.006 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 518 epsilon: 0.100) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1231.654     13  2489.308     2490.030     2544.558
  2  GTR+F+I       1224.619     14  2477.239     2478.074     2536.738
  3  GTR+F+G4      1224.364     14  2476.728     2477.563     2536.228
  4  GTR+F+I+G4    1224.340     15  2478.679     2479.635     2542.429
  5  GTR+F+R2      1225.222     15  2480.444     2481.400     2544.193
  6  GTR+F+R3      1224.505     17  2483.010     2484.234     2555.260
 14  GTR+F+I+R2    1224.594     16  2481.189     2482.275     2549.188
 15  GTR+F+I+R3    1224.495     18  2484.989     2486.360     2561.489
 23  SYM           1263.802     10  2547.604     2548.037     2590.103
 24  SYM+I         1258.967     11  2539.934     2540.456     2586.684
 25  SYM+G4        1258.820     11  2539.639     2540.161     2586.389
 26  SYM+I+G4      1258.841     12  2541.681     2542.299     2592.681
 27  SYM+R2        1258.991     12  2541.983     2542.600     2592.982
 45  TVM+F         1232.376     12  2488.753     2489.370     2539.752
 46  TVM+F+I       1225.498     13  2476.996     2477.718     2532.245
 47  TVM+F+G4      1225.404     13  2476.807     2477.529     2532.057
 48  TVM+F+I+G4    1225.388     14  2478.776     2479.611     2538.276
 49  TVM+F+R2      1225.884     14  2479.769     2480.604     2539.268
 67  TVMe          1269.851     9   2557.703     2558.057     2595.953
 68  TVMe+I        1264.426     10  2548.851     2549.285     2591.351
 69  TVMe+G4       1264.489     10  2548.978     2549.412     2591.477
 70  TVMe+I+G4     1264.485     11  2550.971     2551.493     2597.721
 71  TVMe+R2       1264.512     11  2551.023     2551.545     2597.773
 89  TIM3+F        1232.800     11  2487.601     2488.122     2534.350
