IQ-TREE multicore version 2.4.0 for Linux x86 64-bit built Feb  7 2025
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor, Heiko Schmidt,
Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    rosa (AVX512, FMA3, 755 GB RAM)
Command: /home/jeremias/software/iqtree-2.4.0-Linux-intel/bin/iqtree2 -s /home/jeremias//chrM/split/iter04/window_1_02/window_1_02_05_1.fa -T 1 --quiet --redo -blmin 0.00769230769230769
Seed:    693362 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Jun 25 05:41:38 2026
Kernel:  AVX+FMA - 1 threads (128 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 128 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /home/jeremias//chrM/split/iter04/window_1_02/window_1_02_05_1.fa ... Fasta format detected
Reading fasta file: done in 3.24696e-05 secs using 89.31% CPU
Alignment most likely contains DNA/RNA sequences
Alignment has 4 sequences with 130 columns, 25 distinct patterns
11 parsimony-informative, 20 singleton sites, 99 constant sites
         Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 5.67734e-06 secs using 88.07% CPU
   1  hg38       0.00%    passed     98.70%
   2  gorGor3    0.77%    passed     82.21%
   3  panTro4    0.77%    passed     96.51%
   4  ponAbe2    0.77%    passed     83.89%
****  TOTAL      0.58%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -323.991
Optimal log-likelihood: -323.903
Rate parameters:  A-C: 11.77625  A-G: 54.94046  A-T: 0.00010  C-G: 0.00010  C-T: 100.00000  G-T: 1.00000
Warning! Some parameters hit the boundaries
Base frequencies:  A: 0.338  C: 0.267  G: 0.164  T: 0.230
Proportion of invariable sites: 0.362
Gamma shape alpha: 0.627
Parameters optimization took 1 rounds (0.001 sec)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Time for fast ML tree search: 0.004 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 130 epsilon: 0.100) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         329.638      13  685.276      688.414      722.554
  2  GTR+F+I       323.797      14  675.594      679.247      715.740
  3  GTR+F+G4      323.797      14  675.593      679.246      715.739
  4  GTR+F+I+G4    323.870      15  677.741      681.951      720.754
  5  GTR+F+R2      323.924      15  677.848      682.059      720.862
  6  GTR+F+R3      323.849      17  681.698      687.162      730.446
 14  GTR+F+I+R2    323.754      16  679.509      684.323      725.389
 15  GTR+F+I+R3    323.794      18  683.588      689.751      735.204
 23  SYM           334.704      10  689.409      691.257      718.084
 24  SYM+I         328.571      11  679.142      681.379      710.684
 25  SYM+G4        328.598      11  679.197      681.434      710.739
 26  SYM+I+G4      328.694      12  681.387      684.054      715.798
 27  SYM+R2        328.559      12  681.117      683.784      715.528
 36  SYM+I+R2      328.513      13  683.026      686.164      720.304
 45  TVM+F         330.836      12  685.671      688.338      720.082
 46  TVM+F+I       323.945      13  673.890      677.028      711.168
 47  TVM+F+G4      324.122      13  674.244      677.382      711.522
 48  TVM+F+I+G4    324.339      14  676.678      680.330      716.824
 49  TVM+F+R2      323.999      14  675.998      679.650      716.143
 58  TVM+F+I+R2    323.990      15  677.980      682.190      720.993
 67  TVMe          336.490      9   690.981      692.481      716.789
 68  TVMe+I        329.329      10  678.659      680.507      707.334
 69  TVMe+G4       329.356      10  678.712      680.561      707.388
 70  TVMe+I+G4     329.620      11  681.240      683.478      712.783
 71  TVMe+R2       329.268      11  680.536      682.774      712.079
 80  TVMe+I+R2     329.266      12  682.533      685.199      716.943
 89  TIM3+F        333.517      11  689.034      691.271      720.577
 90  TIM3+F+I      325.421      12  674.841      677.508      709.252
 91  TIM3+F+G4     325.565      12  675.130      677.797      709.541
 92  TIM3+F+I+G4   325.725      13  677.451      680.589      714.729
 93  TIM3+F+R2     325.430      13  676.861      679.999      714.139
102  TIM3+F+I+R2   325.428      14  678.856      682.508      719.001
111  TIM3e         337.743      8   691.487      692.677      714.427
112  TIM3e+I       331.189      9   680.379      681.879      706.187
113  TIM3e+G4      330.994      9   679.989      681.489      705.797
114  TIM3e+I+G4    331.057      10  682.114      683.963      710.789
115  TIM3e+R2      331.047      10  682.094      683.943      710.770
124  TIM3e+I+R2    331.053      11  684.107      686.344      715.650
133  TIM2+F        330.675      11  683.351      685.588      714.893
134  TIM2+F+I      325.094      12  674.189      676.855      708.599
135  TIM2+F+G4     325.043      12  674.087      676.754      708.497
136  TIM2+F+I+G4   325.100      13  676.200      679.338      713.478
137  TIM2+F+R2     324.947      13  675.893      679.031      713.171
146  TIM2+F+I+R2   324.951      14  677.901      681.553      718.047
155  TIM2e         336.015      8   688.031      689.221      710.971
156  TIM2e+I       330.056      9   678.113      679.613      703.921
157  TIM2e+G4      330.102      9   678.204      679.704      704.012
158  TIM2e+I+G4    330.190      10  680.379      682.228      709.054
159  TIM2e+R2      329.972      10  679.945      681.793      708.620
168  TIM2e+I+R2    329.973      11  681.946      684.183      713.489
177  TIM+F         331.554      11  685.107      687.344      716.650
178  TIM+F+I       325.466      12  674.931      677.598      709.342
179  TIM+F+G4      325.464      12  674.928      677.595      709.339
180  TIM+F+I+G4    325.530      13  677.059      680.197      714.337
181  TIM+F+R2      325.394      13  676.788      679.926      714.066
190  TIM+F+I+R2    325.387      14  678.774      682.426      718.919
199  TIMe          337.415      8   690.830      692.020      713.770
200  TIMe+I        331.266      9   680.532      682.032      706.340
201  TIMe+G4       331.244      9   680.488      681.988      706.296
202  TIMe+I+G4     331.340      10  682.680      684.529      711.356
203  TIMe+R2       331.157      10  682.314      684.163      710.989
212  TIMe+I+R2     331.144      11  684.288      686.526      715.831
221  TPM3u+F       333.026      10  686.053      687.901      714.728
222  TPM3u+F+I     325.338      11  672.676      674.914      704.219
223  TPM3u+F+G4    325.363      11  672.726      674.963      704.268
224  TPM3u+F+I+G4  325.565      12  675.131      677.797      709.541
225  TPM3u+F+R2    325.243      12  674.485      677.152      708.896
234  TPM3u+F+I+R2  325.214      13  676.428      679.566      713.706
243  TPM3          339.515      7   693.030      693.948      713.103
244  TPM3+I        331.448      8   678.895      680.085      701.836
245  TPM3+G4       331.401      8   678.802      679.992      701.742
246  TPM3+I+G4     331.574      9   681.148      682.648      706.956
247  TPM3+R2       331.372      9   680.744      682.244      706.552
256  TPM3+I+R2     331.377      10  682.753      684.602      711.429
265  TPM2u+F       331.814      10  683.629      685.477      712.304
266  TPM2u+F+I     324.996      11  671.992      674.229      703.535
267  TPM2u+F+G4    325.193      11  672.387      674.624      703.930
268  TPM2u+F+I+G4  325.470      12  674.940      677.607      709.351
269  TPM2u+F+R2    325.076      12  674.151      676.818      708.562
278  TPM2u+F+I+R2  325.055      13  676.110      679.248      713.388
287  TPM2          337.651      7   689.302      690.220      709.374
288  TPM2+I        330.723      8   677.447      678.637      700.387
289  TPM2+G4       330.685      8   677.370      678.560      700.310
290  TPM2+I+G4     330.975      9   679.950      681.450      705.758
291  TPM2+R2       330.583      9   679.165      680.665      704.973
300  TPM2+I+R2     330.574      10  681.148      682.997      709.823
309  K3Pu+F        332.777      10  685.553      687.402      714.229
310  K3Pu+F+I      325.597      11  673.195      675.432      704.738
311  K3Pu+F+G4     325.647      11  673.294      675.531      704.837
312  K3Pu+F+I+G4   325.775      12  675.551      678.218      709.961
313  K3Pu+F+R2     325.432      12  674.864      677.531      709.274
322  K3Pu+F+I+R2   325.376      13  676.752      679.890      714.030
331  K3P           339.263      7   692.526      693.444      712.599
332  K3P+I         331.845      8   679.690      680.880      702.630
333  K3P+G4        331.819      8   679.638      680.828      702.578
334  K3P+I+G4      332.001      9   682.001      683.501      707.809
335  K3P+R2        331.648      9   681.296      682.796      707.104
344  K3P+I+R2      331.576      10  683.152      685.001      711.827
353  TN+F          332.654      10  685.307      687.156      713.982
354  TN+F+I        326.060      11  674.120      676.358      705.663
355  TN+F+G4       325.953      11  673.906      676.143      705.449
356  TN+F+I+G4     325.993      12  675.985      678.652      710.396
357  TN+F+R2       325.965      12  675.930      678.596      710.340
366  TN+F+I+R2     325.974      13  677.948      681.086      715.226
375  TNe           338.702      7   691.403      692.321      711.476
376  TNe+I         332.047      8   680.095      681.285      703.035
377  TNe+G4        331.837      8   679.674      680.864      702.614
378  TNe+I+G4      331.767      9   681.534      683.034      707.342
379  TNe+R2        331.880      9   681.760      683.260      707.568
388  TNe+I+R2      331.912      10  683.824      685.673      712.499
397  HKY+F         333.829      9   685.658      687.158      711.465
398  HKY+F+I       325.946      10  671.891      673.740      700.566
399  HKY+F+G4      326.081      10  672.162      674.011      700.838
400  HKY+F+I+G4    326.277      11  674.553      676.791      706.096
401  HKY+F+R2      326.006      11  674.013      676.250      705.556
410  HKY+F+I+R2    325.979      12  675.959      678.626      710.369
419  K2P           341.753      6   695.506      696.189      712.711
420  K2P+I         332.379      7   678.758      679.676      698.831
421  K2P+G4        332.366      7   678.732      679.650      698.805
422  K2P+I+G4      332.483      8   680.967      682.157      703.907
423  K2P+R2        332.340      8   680.680      681.870      703.621
432  K2P+I+R2      332.339      9   682.679      684.179      708.486
441  F81+F         358.703      8   733.405      734.595      756.345
442  F81+F+I       354.324      9   726.648      728.148      752.456
443  F81+F+G4      354.583      9   727.166      728.666      752.974
444  F81+F+I+G4    354.640      10  729.280      731.129      757.956
445  F81+F+R2      354.397      10  728.794      730.643      757.470
454  F81+F+I+R2    354.387      11  730.775      733.012      762.318
463  JC            363.973      5   737.946      738.430      752.283
464  JC+I          359.347      6   730.694      731.377      747.900
465  JC+G4         359.582      6   731.164      731.846      748.369
