IQ-TREE multicore version 2.4.0 for Linux x86 64-bit built Feb  7 2025
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor, Heiko Schmidt,
Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    rosa (AVX512, FMA3, 755 GB RAM)
Command: /home/jeremias/software/iqtree-2.4.0-Linux-intel/bin/iqtree2 -s /home/jeremias//chrM/split/iter04/window_1_02/window_1_02_025_2.fa -T 1 --quiet --redo -blmin 0.00515463917525773
Seed:    514851 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Jun 25 05:41:38 2026
Kernel:  AVX+FMA - 1 threads (128 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 128 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /home/jeremias//chrM/split/iter04/window_1_02/window_1_02_025_2.fa ... Fasta format detected
Reading fasta file: done in 4.20511e-05 secs
Alignment most likely contains DNA/RNA sequences
Alignment has 4 sequences with 194 columns, 29 distinct patterns
12 parsimony-informative, 31 singleton sites, 151 constant sites
         Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 5.79655e-06 secs
   1  hg38       0.00%    passed     98.31%
   2  gorGor3    0.00%    passed     64.48%
   3  panTro4    0.00%    passed     98.44%
   4  ponAbe2    0.00%    passed     89.54%
****  TOTAL      0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -455.490
Optimal log-likelihood: -455.392
Rate parameters:  A-C: 9.57049  A-G: 84.32749  A-T: 0.00010  C-G: 0.00010  C-T: 100.00000  G-T: 1.00000
Warning! Some parameters hit the boundaries
Base frequencies:  A: 0.327  C: 0.269  G: 0.124  T: 0.280
Proportion of invariable sites: 0.380
Gamma shape alpha: 1.260
Parameters optimization took 1 rounds (0.001 sec)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Time for fast ML tree search: 0.004 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 194 epsilon: 0.100) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         459.000      13  944.000      946.022      986.482
  2  GTR+F+I       455.296      14  938.591      940.938      984.341
  3  GTR+F+G4      455.381      14  938.762      941.108      984.512
  4  GTR+F+I+G4    455.387      15  940.774      943.470      989.791
  5  GTR+F+R2      455.625      15  941.251      943.948      990.269
  6  GTR+F+R3      455.390      17  944.780      948.257      1000.334
 14  GTR+F+I+R2    455.367      16  942.734      945.807      995.019
 15  GTR+F+I+R3    455.326      18  946.653      950.561      1005.474
 23  SYM           471.360      10  962.721      963.923      995.400
 24  SYM+I         467.668      11  957.335      958.786      993.282
 25  SYM+G4        467.691      11  957.383      958.833      993.329
 26  SYM+I+G4      467.699      12  959.398      961.122      998.612
 27  SYM+R2        467.892      12  959.785      961.509      998.999
 45  TVM+F         459.180      12  942.360      944.084      981.574
 46  TVM+F+I       455.419      13  936.838      938.860      979.320
 47  TVM+F+G4      455.489      13  936.978      939.001      979.460
 48  TVM+F+I+G4    455.501      14  939.002      941.349      984.752
 49  TVM+F+R2      455.599      14  939.198      941.545      984.948
 67  TVMe          473.325      9   964.649      965.628      994.060
 68  TVMe+I        468.736      10  957.472      958.674      990.150
 69  TVMe+G4       468.888      10  957.777      958.979      990.455
 70  TVMe+I+G4     468.942      11  959.884      961.334      995.830
 71  TVMe+R2       469.063      11  960.127      961.577      996.073
 89  TIM3+F        460.801      11  943.601      945.052      979.548
